NO,Project,commenttext,label,commenttype
113,Camel,"CAMEL-2723: Interceptors is now support async routing.

",Requirement,15
114,Camel,"CAMEL-663: Improved builder methods for Java DSL. Added missing builder method for the new option on DLC. 

",Design,15
115,Camel,"CAMEL-3556: Added test for using wire tap in CBR.

",Test,15
116,Camel,"CAMEL-3741 Added new PgmCall option to the Jt400 component

",Requirement,15
117,Camel,"CAMEL-420
- Added missing type converters to support consuming binary files
- Refactored and added unit tests

",Test,15
118,Camel,"CAMEL-5222: The file consumer should use the charset encoding when writing the file if configured.

",Requirement,15
119,Camel,"CAMEL-7999: apt compiler to generate json schema documentation for the model, whcih we later use to enrich the xml xsd to include documentation. Work in progress.
",Documentation,15
120,Camel,"CAMEL-6370: Populate all optional parameter for SubmitSm, SubmitMulti and DataSm to SMSC
",Requirement,15
121,Camel,"CAMEL-5906: Added new camel-servletlistener component for bootstrapping Camel in web app without using spring etc. Work in progress.

",Requirement,15
122,Camel,"CAMEL-550 fixed the NPE error , also fixed some CS errors

",Defect,15
123,Camel,"CAMEL-5683: SendProcessor should not use a soft cache as we want the producer to be kept around, as we only store a single producer. This prevents the producer to be GC when running low on memory, that can cause Camel JMS component using temporary queues with request/reply to create new producer, and not re-use existing. Causing a leak for message listeners over time.

",Design,15
124,Camel,"CAMEL-651: Improved method matching, considering MEP pattern that out capable should invoke a non-void method

",Design,15
125,Camel,"CAMEL-6041 Fix the issue of Bindy does not handle separator at the end of quoted field

",Defect,15
126,Camel,"CAMEL-702: A proposed fix for CAMEL-702. Gert will take a look too. Concurrency issue with camel-saon. WORK IN PROGRESS!!

",Defect,15
127,Camel,"CAMEL-4950: Do not continue routing exchanges if graceful shutdown is in progress and timeout occurred so we should shutdown more aggressively, to prevent the content from appearing stuck. Or if we have long lasting redelivery attempts that make it appear as stuck.

",Design,15
128,Camel,"CAMEL-738: Fixed failing unit test on bamboo due to class with port number. Fixed SFTP part as well. However need to improve the unit test to cover the directory store layout as the bug reports

",Test,15
129,Camel,CAMEL-6521: Fixed the failed build when Java 6 is in use.,Defect,15
130,Camel,"CAMEL-6655: SMPP - add support of Vendor Specific Optional Parameter
",Requirement,15
131,Camel,"CAMEL-6327: More work on new camel-netty-http component.
",Requirement,15
132,Camel,"CAMEL-6380: OSGi blueprint classloading is half fucked up. Now works. But wonder if we must have the .class at imports so the felix bundle plugin ensures these packages are in the OSGi import manifest.
",Design,15
133,Camel,"CAMEL-7902 New test for camel-github
",Test,15
134,Camel,"CAMEL-926: beanShell added to script builder and fixed groovy unit test

",Test,15
135,Camel,"CAMEL-960: fixed boolean not used
CAMEL-901: added unit test for looking into this rare issue
polished code and fixed wrong wrapping of exceptions

",Test,15
136,Camel,"FileConsumer exclusiveRead is now default false. Disabled failing test on Bamboo to get a full green build.

",Test,15
137,Camel,"Damm you can get cheater by Bamboo, the build logs only displays the camel-core has been tested and it stops after 11 mins. So disabling the failing test on camel-core.

",Test,15
138,Camel,"CAMEL-985 - add bean annotation to grab Exception set on an exchange

",Design,15
139,Camel,"Fixed osgi tests.

",Test,15
140,Camel,"camel-optaplanner: Ignore test testAsynchronousProblemSolving until PLANNER-468 is fixed
",Test,15
141,Camel,"Fixed the test failure on the CI-Server (org.apache.camel.model.ModelSanityCheckerTest), also by BeanIODataFormatComplexTest take the fact into the account that the default Locale could be something else other than Locale.ENGLISH.

",Test,15
142,Camel,"changed the interceptor code to separate adding an interceptor for a node in the DSL from adding an interceptor to future steps added to the node; ideally we need to refactor further to avoid confusion (maybe splitting the uses of IntereceptorType into 2 different types). Have temporarily disabled the MulticastStreamTest until I figure out how to fix it :)

",Test,15
143,Camel,"CAMEL-9220: swagger model should include nested types.
",Design,15
144,Camel,Fixed JpaProducerConcurrentTest failing from time to time on the CI-Server.,Test,15
145,Camel,"Fix seda test that fails on slower machines sometimes

",Test,15
146,Camel,"CAMEL-8117: cleanup checkstyle issues
",Requirement,15
147,Camel,"CAMEL-583: Lessened the header type to let the JAXB stuff work and improved the unit test a bit - Added javadoc that MessageType is work in progress

",Test,15
148,Camel,"CAMEL-5906: Added new camel-servletlistener component for bootstrapping Camel in web app without using spring etc. Work in progress.

",Defect,15
149,Camel,"CAMEL-6117: Allow empty service_type and system_type

",Requirement,15
150,Camel,"camel-mail. Tried unit testing with 2 other mail jars. Had to fix unit test because they are buggy.

",Test,15
151,Camel,"finally got all the test cases working for JAXB2! Phew! :)

",Test,15
152,Camel,"further changes in the DOT generation; moving more logic into the actual POJO bean model (so its more reusable elsewhere)

",Design,15
153,Camel,"CAMEL-654: Introduced exclusiveRead option to camel-ftp. This option is default and fixes the problem that the ftp producer can poll files that is in progress of being written. With this option the ftp producer will wait until the file is finished written and that it can poll it safely. Beware the option is default.

",Requirement,15
154,Camel,"test case working (though it doesn't actually test the message is received yet :)

",Test,15
155,Camel,"Try to fix the test errors of camel

",Test,15
156,Camel,"fixed test case for CAMEL-147

",Test,15
157,Camel,"Fixed the async test error on a slower box

",Test,15
158,Camel,"CAMEL-2357: Introduced ExchangeNotificationBuilder to aid in testing production routes or the likes. WORK IN PROGRESS.

",Test,15
159,Camel,"ported a bunch more test cases over to the JAXB2 XML encoding; almost got them all working now!

",Test,15
160,Camel,"Fixed the check style errors of camel-core and some other components

",Design,15
161,Camel,"Seda producer should not force a new unit of work when it sends an exchange. Added asnyc processor unit test to show AsyncProcessor is broken and flawed.

",Test,15
162,Camel,"Some substancial improvement of the CamelBeanDefinitionParser.  It can now handle using builder sub statement to create arguments to builder methods.
This was needed to implement the filter case.



",Design,15
163,Camel,"got the JBI test cases working for invoking a JBI component from Camel and invoking a camel endpoint from inside JBI; also a minor refactor to Component

",Test,15
164,Camel,"more tinkering on the JBI test case

",Test,15
165,Camel,"MR-198: Added more unit tests

",Test,15
166,Camel,"MR-191 added more unit test on camel-osgi

",Test,15
167,Camel,"patched the camel-maven-plugin so it compiles the main/test code first before trying to boot up the camel context. Also added log4j/clogging in there so examples typically get logging too

",Defect,15
168,Camel,"Polished camel-ftp. Added missing unit test. Trying to close Apache FTP Server so Bamboo is happy. Better handling of exception thrown during ftp consumer if its stopping etc.

",Test,15
169,Camel,"CAMEL-4022. Added test showing the problem. The resolution will depend on feedback

",Test,15
170,Camel,"CAMEL-4086: Ability to send multipart and multilingual messages in camel-smpp

",Design,15
171,Camel,"CAMEL-559:
- Upgrade to ActiveMQ 5.1.0 (TODO: on one unit test that now fails)
- Upgrade to JTA spec 1.1
- Maven polishing
- CAMEL-567 fixed camel-route archetype missing depends on camel-core
- Tried to add new loan-broker example and spring-integration component (However still a TODO - please fix)
- Fixed javadoc link on commons-collection being old
- Upgraded to shade 1.0.1 (missmatch as some parts had shade 1.0.1 already) and other maven upgrades in apache-camel, bundle and tooling
- Remoed fixed version numbers on dependencies we already have set in the root pom.xml (the $ version stuff)

",Defect,15
172,Camel,"Disabled test that does not pass on JDK6

",Test,15
173,Camel, Updated batch transaction tests to allow for a slower environment,Test,15
174,Camel,"CAMEL-7999: DSL should use consistent shortName which uses the name from the JAXB annotations
",Requirement,15
175,Camel,"CAMEL-8195: Add javadoc to model classes so we have EIP documentation out of the box
",Documentation,15
176,Camel,"CAMEL-8936: Create a test module for CDI
",Test,15
177,Camel,"Cleaned-up logging; Moved final ServerSocket close() to a finally block
",Design,15
178,Camel,"Decoupling output stream from conduit

",Requirement,15
179,Camel,"fixed up the BAM tests using row level locking by default with Derby and using async queues so that consuming can rollback independently of the test case sending messages

",Test,15
180,Camel,"Skip test on platforms having trouble running it on CI servers

",Test,15
181,Camel,"Unit test updates
",Test,15
182,Camel,"added a test case and fix for CAMEL-111. Also noticed that methods of the form: cheese(String body, @Header(name=""foo"") String foo) were not correctly being mapped by default by the BeanProcessor, so fixed that too

",Test,15
183,Camel,"added a test case for the DeadLetterChannel along with the start of an improved jmock style API on the MockEndpoint

",Test,15
184,Camel,"added a test case showing how to use xquery with a Dynamic Recipient List

",Test,15
185,Camel, TODO: resolve gzip encoding issue,Test,15
186,Camel,"AIX cannot run one of the JMX unit tests so disabled it for that platform

",Test,15
187,Camel,"CAMEL-1536: added an OSGi integration test for Camel using Pax Exam to test Camel in Felix and Equinox

",Test,15
188,Camel,"CAMEL-3015: mail consumer uses OnCompletion to do after work to mark message as seen/deleted.

",Requirement,15
189,Camel,"CAMEL-3971: Fixed dumping routes as XML would not contain expressions if built in java dsl using ExpressionClause. CAMEL-3984: Remove not needed usage of Java DSL fluent builders with ExpressionClause as it causes the route model to not output expressions accurately, so we reduce its usage to have less places to fixup this.

",Design,15
190,Camel,"CAMEL-5750: Disabled failed test. Added TODO to this example as it should show best-practice for end users.

",Test,15
191,Camel,"CAMEL-656: Polished list and timer component. And tried to fix a failing unit test on the Bamboo, that happens rarely

",Test,15
192,Camel,"Fixed compiler issue on HP-UX

",Defect,15
193,Camel,"Fixed the CS and typo errors

",Defect,15
194,Camel,"use the TransportFactory from the Bus itself to avoid possibly using the wrong one; also got a working test case now that does assertions on the returned headers and body

",Test,15
195,gerrit,"Add a /changes option to include detailed label info

The intent of this option is to be able to render the ApprovalTable
using the new REST API. As such, we need to display detailed approval
info for all relevant accounts, not just the output of the submit rule
evaluator. The submit rule evaluator only outputs at most one account
for approved/recommended/disliked/rejected, and omits the numeric
value.

Detailed label information is included in the ""labels"" field, which is
all per-change information. The permitted ranges for the current user,
which is of course per-user, is included in the top-level
""permitted_labels"" field.

Example JSON output for a change:

  {
    ""kind"": ""gerritcodereview#change"",
    ""id"": ""repo1~master~I190d6f46480fbc160561bea7e46d1c0905d75a80"",
    ""project"": ""repo1"",
    ""branch"": ""master"",
    ""change_id"": ""I190d6f46480fbc160561bea7e46d1c0905d75a80"",
    ""subject"": ""Add bar/baz"",
    ""status"": ""NEW"",
    ""created"": ""2013-01-29 21:37:03.870000000"",
    ""updated"": ""2013-02-06 00:17:26.751000000"",
    ""reviewed"": true,
    ""_sortkey"": ""0022ea3100000002"",
    ""_number"": 2,
    ""owner"": {
      ""_account_id"": 1000000,
      ""name"": ""Dave Borowitz"",
      ""email"": ""dborowitz@google.com""
    },
    ""labels"": {
      ""Verified"": {
        ""all"": [
          {
            ""value"": 1,
            ""_account_id"": 1000000,
            ""name"": ""Dave Borowitz"",
            ""email"": ""dborowitz@google.com""
          }
        ],
        ""values"": {
          ""-1"": ""Fails"",
          "" 0"": ""No score"",
          ""+1"": ""Verified""
        }
      },
      ""Code-Review"": {
        ""all"": [
          {
            ""value"": 1,
            ""_account_id"": 1000000,
            ""name"": ""Dave Borowitz"",
            ""email"": ""dborowitz@google.com""
          },
          {
            ""value"": -1,
            ""_account_id"": 1000001,
            ""name"": ""David Borowitz"",
            ""email"": ""ddborowitz@gmail.com""
          }
        ],
        ""values"": {
          ""-2"": ""Do not submit"",
          ""-1"": ""I would prefer that you didn\u0027t submit this"",
          "" 0"": ""No score"",
          ""+1"": ""Looks good to me, but someone else must approve"",
          ""+2"": ""Looks good to me, approved""
        }
      }
    },
    ""permitted_labels"": {
      ""Code-Review"": [
        ""-1"",
        "" 0"",
        ""+1""
      ]
    }
  }

Change-Id: I97e97fa0cb27cc3dbdc8496d5115dc353dafc9ae
",Requirement,15
196,gerrit,"Add a way to change the destination of open changes

When the development is moved from one branch to next in a git project
and we want to get all the open changes from old branch to the new branch,
we have to create a new copy of those changes for the new branch.

Since these changes are not required on the old branch, moving would be
a better fit than other propagation methods (cherrypicking, manual upload).

This change provides a REST API '/changes/{change-id}/move' to
move an open change to a different branch.

Change-Id: I44c68be1d08e2e1f4eab4e4f1724047f20072ac3
",Design,15
197,gerrit,"Move duplicate code to strip .git suffix to a utility class

Code to strip the .git suffix off project names is duplicated in
a couple of places.

Implement this code in a common utility method.

Note that we cannot use this utility method in client UI code
because it imports Jgit constants that are not allowed in GWT
according to ee720b8ab750d21ca2d219b439ff6f596432008e

Change-Id: I5e52e16d6f87aca22181e0fe0220a68635e6d789
",Design,15
198,gerrit,"Add plugin extension and servlet for avatar images

Avatar images are provided by a single plugin and requested from the
/avatar/* URL.  If no plugin is provided, a 404 is returned.


",Design,15
199,gerrit,"Pass project to ChangeData so that it can load the change from notes

ChangeData currently loads the change directly from the database, but
now when we support notedb it should load the change via the change
notes factory. Loading the change via the change notes factory
requires the project name in addition to the change ID, hence
ChangeData must know it.

The only caller of ChangeData that cannot provide the project name is
HasDraftByLegacyPredicate. Due to this HasDraftByLegacyPredicate
loads the changes on its own from the database for now. We may remove
this deprecated predicate before migrating to notedb or find another
solution later.

When the change is now loaded from notedb its last modified timestamp
is only precise to seconds, while when its loaded from the database it
is precise to milliseconds. Due to this different changes got the same
last modified timestamp when notedb was enabled and as result the
GetRelatedIT#getRelatedReworkThenExtendInTheMiddleOfSeries test
started to fail. Defining a 1s time clock step for this test fixes
this issue.


",Requirement,15
200,gerrit,"Implement OpenID based single-sign-on for Google Accounts

This is the early part of our OpenID based SSO implementation.
We now support authentication through the Google Accounts OpenID
provider, allowing users to ""sign in"" and ""sign out"" of the
application through the external provider.

Presently the login servlet is hard-coded to only use Google Accounts
as an OpenID provider.  We should support other providers by setting
up the standard OpenID entry box as the initial content returned
from our login dialog.

The login servlet randomly generates its coookie encryption key
during startup.  This causes any existing user cookies to become
invalid, requiring the user to authenticate again.  At some point
this needs to change to obtain the encryption key from a local
store, where it isn't part of the code base but is preserved across
application server restarts.

In the future we should also support other web based login systems,
such as any in-house web application (such as those used by many
large companies) or just plug in a basic LDAP or database based web
interface, without requiring the complexity of an OpenID provider.

The left and top menu now updates to reflect the current status of
the user.  If the user signed in we show the ""mine"" links and we
offer the admin menu and a link to the user's account settings.

Signed-off-by: Shawn O. Pearce <sop@google.com>
",Requirement,15
201,gerrit,"Print proper name for ListenableFutureTask in show-queue command Any Gerrit WorkQueue.Executor that is decorated by a Guava MoreExecutors.listeningDecorator was not printing the proper task name in show-queue command. Even if the task defined a toString method, the toString method of the ListenableFutureTask was called instead. Since the task that we need to call the toString is wrapped into a FutureTask which is also wrapped into a ListenableFutureTask, there is no clean way to call proper toString other than modifying both classes to delegate the toString to task they are wrapping. Modify WorkQueue.Task.toString method to call the proper toString method by reflection when the task is a ListenableFutureTask.",Design,15
202,gerrit,"Move conversion to SubmitRecords into SubmitRuleEvaluator

Much of this logic is shared between TestSubmitRule and
ChangeControl.canSubmit(), which both depend on this output format.
Move the logic into SubmitRuleEvaluator to lessen the leakage of Term
objects.

The main difference in behavior between these two classes is how
errors are treated. canSubmit() is called by non-admin end users who
get bland error messages telling them to check the server logs;
TestSubmitRule is for admins who need to debug submit rules, and
errors are expected to happen. So we need to distinguish the case when
detailed error messages should go to the user vs. in the logs. Do this
explicitly with a setLogErrors() method on SubmitRuleEvaluator.

Change-Id: Ia61310e4fb6dea255ab721893eea070ca95d216c
",Design,15
